GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Test Coverage,nl.tailormap.viewer.config.security,User,143,0,6,0,38,0,19,0,16,0
Test Coverage,nl.tailormap.viewer.config.security,Group,29,9,0,0,11,1,7,1,7,1
Test Coverage,nl.tailormap.viewer.config.security,Authorizations,62,0,6,0,13,0,6,0,3,0
Test Coverage,nl.tailormap.viewer.config.app,StartLevel,41,21,0,0,14,9,6,6,6,6
Test Coverage,nl.tailormap.viewer.config.app,FileUpload,109,3,0,0,36,1,20,1,20,1
Test Coverage,nl.tailormap.viewer.config.app,StartLayer,40,25,0,0,14,11,7,7,7,7
Test Coverage,nl.tailormap.viewer.config.app,Resource,51,0,0,0,20,0,12,0,12,0
Test Coverage,nl.tailormap.viewer.config.app,Bookmark,46,18,0,0,16,8,9,5,9,5
Test Coverage,nl.tailormap.viewer.config.app,ConfiguredAttribute,373,3,16,0,111,1,56,1,48,1
Test Coverage,nl.tailormap.viewer.config.app,Application.TreeCache,96,0,8,0,25,0,11,0,7,0
Test Coverage,nl.tailormap.viewer.config.app,ConfiguredComponent,194,46,12,0,47,16,23,7,17,7
Test Coverage,nl.tailormap.viewer.config.app,ApplicationLayer,876,46,124,0,167,14,88,6,26,6
Test Coverage,nl.tailormap.viewer.config.app,Application,747,118,65,3,170,32,77,14,43,14
Test Coverage,nl.tailormap.viewer.config.app,Level,481,45,54,0,113,13,57,6,30,6
Test Coverage,nl.tailormap.viewer.components,ViewerComponent,49,0,0,0,17,0,9,0,9,0
Test Coverage,nl.tailormap.viewer.config.forms,Form,42,8,0,0,18,2,12,1,12,1
Test Coverage,nl.tailormap.viewer.config.metadata,Metadata,18,6,0,0,8,2,5,2,5,2
Test Coverage,nl.tailormap.viewer.config,RemoveEmptyMapValuesUtil,61,0,14,0,12,0,9,0,2,0
Test Coverage,nl.tailormap.viewer.config,CRS,23,0,0,0,10,0,5,0,5,0
Test Coverage,nl.tailormap.viewer.config,CycloramaAccount,59,3,0,0,20,1,11,1,11,1
Test Coverage,nl.tailormap.viewer.config,ClobElement,83,0,16,0,20,0,17,0,9,0
Test Coverage,nl.tailormap.viewer.config.services,StyleLibrary,273,3,54,0,72,1,42,1,15,1
Test Coverage,nl.tailormap.viewer.config.services,WMSService,36,6,0,0,10,2,7,1,7,1
Test Coverage,nl.tailormap.viewer.config.services,TileMatrix,194,3,0,0,56,1,24,1,24,1
Test Coverage,nl.tailormap.viewer.config.services,FeatureSource,119,19,6,0,35,7,18,4,15,4
Test Coverage,nl.tailormap.viewer.config.services,Layer,676,137,64,0,167,24,85,7,53,7
Test Coverage,nl.tailormap.viewer.config.services,Document,58,3,0,0,18,1,9,1,9,1
Test Coverage,nl.tailormap.viewer.config.services,SimpleFeatureType,374,25,40,0,86,9,39,4,19,4
Test Coverage,nl.tailormap.viewer.config.services,CoordinateReferenceSystem,54,0,8,0,16,0,11,0,7,0
Test Coverage,nl.tailormap.viewer.config.services,BoundingBox,328,0,48,0,64,0,41,0,17,0
Test Coverage,nl.tailormap.viewer.config.services,ArcGISFeatureSource,0,3,0,0,0,1,0,1,0,1
Test Coverage,nl.tailormap.viewer.config.services,WMSExceptionType,3,34,0,0,1,6,1,2,1,2
Test Coverage,nl.tailormap.viewer.config.services,TileMatrixSet,153,8,6,0,42,2,17,1,14,1
Test Coverage,nl.tailormap.viewer.config.services,Category,49,27,0,0,21,6,14,2,14,2
Test Coverage,nl.tailormap.viewer.config.services,TileService,31,8,4,0,9,2,7,1,5,1
Test Coverage,nl.tailormap.viewer.config.services,JDBCFeatureSource,64,3,0,0,14,2,3,1,3,1
Test Coverage,nl.tailormap.viewer.config.services,FeatureTypeRelationKey,80,3,4,0,25,1,12,1,10,1
Test Coverage,nl.tailormap.viewer.config.services,FeatureTypeRelation,172,8,12,0,40,2,22,1,16,1
Test Coverage,nl.tailormap.viewer.config.services,ArcGISService,59,20,14,0,9,2,8,2,1,2
Test Coverage,nl.tailormap.viewer.config.services,WFSFeatureSource,21,3,0,0,5,2,1,1,1,1
Test Coverage,nl.tailormap.viewer.config.services,TileSet,70,0,2,0,19,0,11,0,10,0
Test Coverage,nl.tailormap.viewer.config.services,GeoService,268,46,20,0,87,14,49,4,39,4
Test Coverage,nl.tailormap.viewer.config.services,SolrConf,106,18,4,0,32,4,15,1,13,1
Test Coverage,nl.tailormap.viewer.config.services,AttributeDescriptor,189,36,34,0,47,2,31,2,12,2
Test Coverage,nl.tailormap.viewer.util,ApplicationDetailsValueTransformer,57,0,4,0,14,0,4,0,2,0
Test Coverage,nl.tailormap.viewer.util,DB,3,0,0,0,1,0,1,0,1,0
Test Coverage,nl.tailormap.viewer.util,Coalesce,41,0,10,0,7,0,9,0,4,0
Test Coverage,nl.tailormap.viewer.util,LayerListHelper,166,0,56,0,41,0,31,0,3,0
Test Coverage,nl.tailormap.viewer.util,SnakeCasePhysicalNamingStrategy,4,45,0,4,1,12,1,8,1,6
Test Coverage,nl.tailormap.viewer.util,ScriptRunner,113,168,25,21,33,52,20,9,1,5
